,Date,1,2,3,4,5,6,7
131,"Jan 21, 84",1,5,14,24,25,38,27
132,"Jan 14, 84",2,12,29,31,44,46,40
133,"Jan 7, 84",1,7,14,31,41,43,12
134,"Dec 28, 85",17,21,22,25,39,47,44
135,"Dec 25, 85",1,7,11,14,19,38,32
136,"Dec 21, 85",6,9,14,26,36,46,42
137,"Dec 18, 85",1,7,19,36,42,49,45
138,"Dec 14, 85",9,10,17,21,38,48,30
139,"Dec 11, 85",9,19,20,32,33,37,39
140,"Dec 7, 85",4,26,29,34,39,40,18
141,"Dec 4, 85",4,5,20,29,31,47,1
142,"Nov 30, 85",4,17,19,25,32,39,2
143,"Nov 27, 85",19,24,26,34,41,43,27
144,"Nov 23, 85",2,7,12,27,29,44,21
145,"Nov 20, 85",31,32,36,38,39,44,20
146,"Nov 16, 85",4,13,18,23,24,40,45
147,"Nov 13, 85",5,9,23,28,40,46,49
148,"Nov 9, 85",9,11,13,29,36,45,12
149,"Nov 6, 85",16,20,26,34,38,47,27
150,"Nov 2, 85",11,19,25,26,36,45,6
151,"Oct 30, 85",19,24,32,36,38,41,47
152,"Oct 26, 85",16,26,32,35,43,46,40
153,"Oct 23, 85",1,6,11,27,33,41,9
154,"Oct 19, 85",22,27,30,39,41,44,38
155,"Oct 16, 85",1,3,8,18,35,47,30
156,"Oct 12, 85",3,6,13,18,31,40,10
157,"Oct 9, 85",7,8,11,19,25,39,3
158,"Oct 5, 85",4,6,22,27,31,33,45
159,"Oct 2, 85",1,26,33,34,38,46,31
160,"Sep 28, 85",7,9,21,28,29,35,10
161,"Sep 25, 85",5,9,12,33,45,47,32
162,"Sep 21, 85",3,11,16,20,21,24,44
163,"Sep 18, 85",8,12,19,33,41,45,24
164,"Sep 14, 85",11,23,43,46,47,49,1
165,"Sep 11, 85",4,9,14,15,44,45,32
166,"Sep 7, 85",30,32,35,40,43,44,23
167,"Aug 31, 85",3,9,13,15,27,30,42
168,"Aug 24, 85",6,19,22,27,36,40,3
169,"Aug 17, 85",4,21,32,38,43,45,41
170,"Aug 10, 85",7,11,14,18,34,45,44
171,"Aug 3, 85",2,8,9,18,31,42,32
172,"Jul 27, 85",3,8,21,24,30,42,19
173,"Jul 20, 85",7,9,11,16,43,46,34
174,"Jul 13, 85",4,5,10,22,30,35,18
175,"Jul 6, 85",5,24,26,36,41,45,35
176,"Jun 29, 85",2,10,39,46,47,48,35
177,"Jun 22, 85",1,7,15,20,31,45,22
178,"Jun 15, 85",4,21,23,27,45,47,14
179,"Jun 8, 85",9,11,19,27,30,46,12
180,"Jun 1, 85",13,16,19,24,33,48,17
181,"May 25, 85",9,12,24,30,31,47,39
182,"May 18, 85",19,21,32,39,43,45,20
183,"May 11, 85",6,15,20,22,26,46,21
184,"May 4, 85",1,2,5,7,40,44,35
185,"Apr 27, 85",4,14,27,37,40,44,46
186,"Apr 20, 85",4,8,14,21,30,49,13
187,"Apr 13, 85",7,20,24,46,48,49,41
188,"Apr 6, 85",8,21,27,34,41,46,31
189,"Mar 30, 85",8,16,20,30,31,48,12
190,"Mar 23, 85",14,23,31,33,35,47,18
191,"Mar 16, 85",3,6,18,21,33,34,49
192,"Mar 9, 85",6,7,8,35,36,43,33
193,"Mar 2, 85",17,19,27,30,36,43,1
194,"Feb 23, 85",1,2,7,9,20,43,33
195,"Feb 16, 85",3,7,15,24,38,41,29
196,"Feb 9, 85",2,5,21,24,29,46,25
197,"Feb 2, 85",5,18,22,23,25,26,2
198,"Jan 26, 85",6,30,33,39,41,49,47
199,"Jan 19, 85",7,24,35,37,45,47,23
200,"Jan 12, 85",9,34,38,39,43,44,1
201,"Jan 5, 85",7,17,18,24,29,48,34
202,"Dec 31, 86",8,11,16,20,27,44,36
203,"Dec 27, 86",3,15,16,20,26,34,32
204,"Dec 24, 86",1,10,19,24,37,41,48
205,"Dec 20, 86",7,14,16,34,46,48,49
206,"Dec 17, 86",16,21,25,35,37,40,44
207,"Dec 13, 86",3,6,7,14,27,43,33
208,"Dec 10, 86",14,23,25,30,33,35,17
209,"Dec 6, 86",6,8,24,37,45,48,11
210,"Dec 3, 86",4,15,25,31,33,47,26
211,"Nov 29, 86",2,4,6,21,27,42,17
212,"Nov 26, 86",14,20,22,26,35,44,40
213,"Nov 22, 86",5,13,18,32,34,39,21
214,"Nov 19, 86",2,7,8,22,34,47,3
215,"Nov 15, 86",4,23,24,34,39,47,45
216,"Nov 12, 86",1,17,26,33,36,43,30
217,"Nov 8, 86",2,3,6,11,31,42,1
218,"Nov 5, 86",23,25,26,27,38,46,4
219,"Nov 1, 86",19,22,24,36,38,41,33
220,"Oct 29, 86",13,17,21,22,24,46,27
221,"Oct 25, 86",1,3,16,41,42,46,31
222,"Oct 22, 86",3,16,34,36,45,48,13
223,"Oct 18, 86",8,29,32,39,43,45,49
224,"Oct 15, 86",10,21,24,25,39,49,23
225,"Oct 11, 86",7,12,26,33,37,48,21
226,"Oct 8, 86",3,17,20,22,24,49,25
227,"Oct 4, 86",8,14,16,24,26,38,21
228,"Oct 1, 86",2,17,24,30,34,39,18
229,"Sep 27, 86",4,5,11,19,34,38,27
230,"Sep 24, 86",2,12,38,40,42,48,45
231,"Sep 20, 86",8,9,11,15,19,25,10
232,"Sep 17, 86",9,21,30,32,39,41,27
233,"Sep 13, 86",10,14,16,43,44,49,29
234,"Sep 10, 86",3,13,18,22,42,43,46
235,"Sep 6, 86",8,9,19,35,39,48,20
236,"Sep 3, 86",20,27,41,44,47,49,34
237,"Aug 30, 86",4,11,25,32,45,46,10
238,"Aug 27, 86",7,11,18,33,38,40,32
239,"Aug 23, 86",1,4,19,31,45,47,36
240,"Aug 20, 86",6,7,9,21,38,43,45
241,"Aug 16, 86",14,25,35,40,41,43,12
242,"Aug 13, 86",4,5,34,35,40,43,15
243,"Aug 9, 86",5,8,14,21,33,34,10
244,"Aug 6, 86",1,5,7,10,23,40,47
245,"Aug 2, 86",8,14,21,24,38,47,23
246,"Jul 30, 86",3,26,39,44,48,49,13
247,"Jul 26, 86",3,14,29,34,46,49,48
248,"Jul 23, 86",3,13,17,24,32,35,47
249,"Jul 19, 86",7,25,28,32,37,43,16
250,"Jul 16, 86",7,17,29,31,38,47,27
251,"Jul 12, 86",7,17,20,30,33,43,39
252,"Jul 9, 86",16,24,25,36,44,45,18
253,"Jul 5, 86",7,10,12,32,44,48,21
254,"Jul 2, 86",5,16,18,31,46,49,42
255,"Jun 28, 86",1,4,20,33,34,37,38
256,"Jun 25, 86",1,5,15,33,35,47,24
257,"Jun 21, 86",1,8,10,34,42,45,14
258,"Jun 18, 86",2,14,18,28,32,43,31
259,"Jun 14, 86",3,21,29,37,40,47,30
260,"Jun 11, 86",5,14,24,27,36,43,26
261,"Jun 7, 86",3,16,21,41,45,46,49
262,"Jun 4, 86",3,4,5,14,17,31,37
263,"May 31, 86",8,16,17,37,40,41,19
264,"May 28, 86",3,18,21,31,34,37,48
265,"May 24, 86",2,21,26,28,41,49,5
266,"May 21, 86",20,25,36,39,43,45,26
267,"May 17, 86",1,25,34,41,44,49,37
268,"May 14, 86",8,16,19,26,33,45,10
269,"May 10, 86",4,10,17,26,39,47,19
270,"May 7, 86",9,16,22,40,42,47,15
271,"May 3, 86",12,18,30,38,39,47,6
272,"Apr 30, 86",2,9,13,18,20,29,42
273,"Apr 26, 86",8,10,24,27,35,43,22
274,"Apr 23, 86",4,5,7,25,38,42,43
275,"Apr 19, 86",7,17,26,28,42,48,43
276,"Apr 16, 86",9,28,29,32,41,49,33
277,"Apr 12, 86",17,18,23,32,36,39,10
278,"Apr 9, 86",5,19,22,30,39,45,48
279,"Apr 5, 86",18,29,32,34,35,46,2
280,"Apr 2, 86",5,10,17,21,31,36,40
281,"Mar 29, 86",15,22,28,29,42,46,36
282,"Mar 26, 86",2,4,25,28,38,46,9
283,"Mar 22, 86",5,8,17,20,21,42,44
284,"Mar 19, 86",19,25,34,40,42,46,18
285,"Mar 15, 86",8,9,34,41,44,47,21
286,"Mar 12, 86",9,10,20,22,41,42,23
287,"Mar 8, 86",7,24,28,31,37,43,41
288,"Mar 5, 86",1,7,17,28,41,45,39
289,"Mar 1, 86",7,12,13,14,35,43,20
290,"Feb 26, 86",11,15,26,33,40,49,38
291,"Feb 22, 86",9,16,19,25,34,36,23
292,"Feb 19, 86",5,17,23,35,45,48,39
293,"Feb 15, 86",20,22,30,43,46,48,44
294,"Feb 12, 86",1,12,15,19,22,30,36
295,"Feb 8, 86",2,5,7,36,38,42,32
296,"Feb 5, 86",6,26,29,31,32,41,36
297,"Feb 1, 86",4,5,9,19,29,31,45
298,"Jan 29, 86",3,9,11,37,45,46,6
299,"Jan 25, 86",24,26,29,40,44,46,16
300,"Jan 22, 86",2,19,26,27,44,47,8
301,"Jan 18, 86",11,17,23,26,30,34,4
302,"Jan 15, 86",1,10,13,19,25,33,45
303,"Jan 11, 86",4,12,21,40,42,45,2
304,"Jan 8, 86",9,10,12,18,32,48,31
305,"Jan 4, 86",6,20,23,29,32,37,18
306,"Jan 1, 86",3,6,18,31,38,49,42
307,"Dec 30, 87",1,13,17,18,45,48,49
308,"Dec 26, 87",1,17,26,37,39,49,46
309,"Dec 23, 87",16,29,30,39,43,44,31
310,"Dec 19, 87",12,13,18,22,32,33,19
311,"Dec 16, 87",12,25,37,41,42,48,1
312,"Dec 12, 87",2,9,11,31,37,40,41
313,"Dec 9, 87",20,29,33,39,41,48,7
314,"Dec 5, 87",1,5,25,30,31,48,23
315,"Dec 2, 87",15,22,30,35,37,49,26
316,"Nov 28, 87",4,8,9,24,43,47,17
317,"Nov 25, 87",13,26,33,45,46,49,10
318,"Nov 21, 87",1,7,11,12,29,39,16
319,"Nov 18, 87",18,36,40,43,45,49,33
320,"Nov 14, 87",1,13,19,32,33,38,47
321,"Nov 11, 87",10,17,18,37,39,43,2
322,"Nov 7, 87",6,16,26,30,32,43,19
323,"Nov 4, 87",3,4,7,8,16,34,26
324,"Oct 31, 87",9,16,17,24,35,41,10
325,"Oct 28, 87",7,18,27,30,39,40,32
326,"Oct 24, 87",3,24,25,38,39,44,36
327,"Oct 21, 87",1,3,5,14,27,44,10
328,"Oct 17, 87",4,14,15,23,40,49,2
329,"Oct 14, 87",16,20,25,32,33,42,31
330,"Oct 10, 87",8,9,17,28,33,36,10
331,"Oct 7, 87",3,4,6,13,14,48,40
332,"Oct 3, 87",14,18,23,25,28,30,36
333,"Sep 30, 87",4,9,10,11,28,30,32
334,"Sep 26, 87",21,22,28,36,41,49,23
335,"Sep 23, 87",4,8,10,16,22,41,7
336,"Sep 19, 87",3,7,21,24,29,48,28
337,"Sep 16, 87",3,4,6,15,35,40,45
338,"Sep 12, 87",4,22,23,28,29,36,38
339,"Sep 9, 87",15,23,35,38,46,47,13
340,"Sep 5, 87",8,11,15,31,32,33,35
341,"Sep 2, 87",11,13,17,20,45,49,22
342,"Aug 29, 87",1,15,16,26,29,37,9
343,"Aug 26, 87",3,8,28,32,36,48,29
344,"Aug 22, 87",19,23,27,28,35,49,12
345,"Aug 19, 87",4,17,19,30,41,44,38
346,"Aug 15, 87",10,14,21,31,34,49,44
347,"Aug 12, 87",1,4,13,16,30,31,36
348,"Aug 8, 87",14,18,26,39,41,49,38
349,"Aug 5, 87",17,29,32,41,42,43,37
350,"Aug 1, 87",1,4,20,28,44,47,21
351,"Jul 29, 87",10,26,31,36,39,46,2
352,"Jul 25, 87",2,11,22,23,32,40,47
353,"Jul 22, 87",1,8,26,32,43,49,35
354,"Jul 18, 87",3,8,40,46,47,48,43
355,"Jul 15, 87",4,17,29,38,39,45,31
356,"Jul 11, 87",10,24,28,33,38,46,43
357,"Jul 8, 87",5,13,14,18,37,40,16
358,"Jul 4, 87",4,19,26,32,44,46,36
359,"Jul 1, 87",3,12,15,18,21,33,5
360,"Jun 27, 87",1,15,31,32,37,42,38
361,"Jun 24, 87",3,15,40,41,43,47,38
362,"Jun 20, 87",5,20,22,25,36,48,9
363,"Jun 17, 87",10,17,24,34,37,41,33
364,"Jun 13, 87",8,16,29,32,40,46,28
365,"Jun 10, 87",6,8,15,17,20,23,45
366,"Jun 6, 87",4,10,19,32,39,41,36
367,"Jun 3, 87",4,7,11,35,40,41,10
368,"May 30, 87",3,12,18,22,31,36,37
369,"May 27, 87",16,18,21,23,34,38,32
370,"May 23, 87",1,27,34,40,41,44,35
371,"May 20, 87",6,8,10,18,22,45,1
372,"May 16, 87",1,9,16,17,38,42,30
373,"May 13, 87",1,5,21,36,44,45,22
374,"May 9, 87",3,9,32,38,40,47,49
375,"May 6, 87",5,16,19,25,46,48,38
376,"May 2, 87",9,11,15,21,32,42,35
377,"Apr 29, 87",5,7,10,20,37,38,27
378,"Apr 25, 87",1,27,29,34,42,48,33
379,"Apr 22, 87",27,31,33,34,39,46,44
380,"Apr 18, 87",9,10,11,21,28,37,33
381,"Apr 15, 87",15,26,29,34,46,47,37
382,"Apr 11, 87",18,25,27,28,40,46,11
383,"Apr 8, 87",14,16,18,29,31,35,33
384,"Apr 4, 87",2,8,29,32,40,47,5
385,"Apr 1, 87",4,28,38,39,43,45,44
386,"Mar 28, 87",13,16,40,41,47,48,5
387,"Mar 25, 87",3,5,6,11,20,44,48
388,"Mar 21, 87",1,15,22,38,42,45,18
389,"Mar 18, 87",2,18,22,30,31,33,12
390,"Mar 14, 87",2,4,12,30,35,46,34
391,"Mar 11, 87",1,21,24,27,30,37,39
392,"Mar 7, 87",11,16,22,25,34,37,5
393,"Mar 4, 87",6,17,24,26,31,32,37
394,"Feb 28, 87",2,11,16,23,29,45,37
395,"Feb 25, 87",2,5,24,25,36,46,23
396,"Feb 21, 87",9,16,21,27,40,44,11
397,"Feb 18, 87",2,10,20,26,35,48,16
398,"Feb 14, 87",12,15,16,25,29,37,13
399,"Feb 11, 87",11,12,29,33,43,46,22
400,"Feb 7, 87",14,15,16,31,32,39,5
401,"Feb 4, 87",2,15,21,42,47,49,41
402,"Jan 31, 87",6,12,15,24,36,49,48
403,"Jan 28, 87",15,18,27,44,46,47,33
404,"Jan 24, 87",12,16,20,27,41,42,37
405,"Jan 21, 87",2,11,19,34,42,44,49
406,"Jan 17, 87",7,15,16,18,31,44,46
407,"Jan 14, 87",4,21,23,33,34,36,31
408,"Jan 10, 87",7,9,17,18,26,35,46
409,"Jan 7, 87",1,3,29,35,37,47,45
410,"Jan 3, 87",3,11,16,23,47,49,25
411,"Dec 31, 88",3,25,28,29,35,47,16
412,"Dec 28, 88",1,8,17,20,32,44,16
413,"Dec 24, 88",23,31,34,45,47,48,7
414,"Dec 21, 88",3,10,20,30,44,49,43
415,"Dec 17, 88",4,15,19,20,36,48,16
416,"Dec 14, 88",6,23,24,26,33,36,41
417,"Dec 10, 88",8,16,22,31,32,39,43
418,"Dec 7, 88",4,17,22,28,30,47,46
419,"Dec 3, 88",1,14,15,30,37,49,19
420,"Nov 30, 88",4,20,33,47,48,49,45
421,"Nov 26, 88",2,18,23,35,37,42,1
422,"Nov 23, 88",22,33,38,39,44,49,43
423,"Nov 19, 88",4,5,24,25,36,39,47
424,"Nov 16, 88",1,18,19,31,45,49,41
425,"Nov 12, 88",13,15,24,28,41,46,21
426,"Nov 9, 88",4,6,15,32,34,35,8
427,"Nov 5, 88",16,31,40,42,45,49,21
428,"Nov 2, 88",3,7,23,28,31,49,9
429,"Oct 29, 88",1,24,32,36,48,49,47
430,"Oct 26, 88",13,16,17,19,35,45,3
431,"Oct 22, 88",2,3,8,24,32,48,28
432,"Oct 19, 88",8,12,16,20,21,44,49
433,"Oct 15, 88",2,13,27,29,35,38,44
434,"Oct 12, 88",1,7,9,21,46,47,36
435,"Oct 8, 88",7,23,27,29,44,49,18
436,"Oct 5, 88",3,12,14,29,31,33,23
437,"Oct 1, 88",6,20,35,42,47,49,38
438,"Sep 28, 88",2,4,6,11,42,44,26
439,"Sep 24, 88",3,7,18,21,41,44,32
440,"Sep 21, 88",8,9,10,18,30,39,22
441,"Sep 17, 88",2,4,15,24,28,41,34
442,"Sep 14, 88",10,27,30,33,36,48,9
443,"Sep 10, 88",4,16,17,18,22,44,41
444,"Sep 7, 88",2,5,13,23,35,45,48
445,"Sep 3, 88",6,20,22,27,32,41,37
446,"Aug 31, 88",6,31,34,37,39,48,15
447,"Aug 27, 88",17,20,23,27,36,47,37
448,"Aug 24, 88",5,8,16,32,34,43,6
449,"Aug 20, 88",6,19,33,35,43,44,34
450,"Aug 17, 88",5,32,34,40,45,47,15
451,"Aug 13, 88",11,24,35,45,46,48,40
452,"Aug 10, 88",7,15,17,29,40,47,36
453,"Aug 6, 88",5,28,29,32,43,45,20
454,"Aug 3, 88",1,3,20,22,30,44,33
455,"Jul 30, 88",2,7,10,14,23,42,17
456,"Jul 27, 88",1,4,31,33,36,39,32
457,"Jul 23, 88",12,14,20,33,38,43,18
458,"Jul 20, 88",9,13,19,23,34,40,1
459,"Jul 16, 88",1,8,13,28,31,44,39
460,"Jul 13, 88",8,9,15,22,25,31,7
461,"Jul 9, 88",8,10,25,31,43,47,41
462,"Jul 6, 88",6,13,19,22,25,27,16
463,"Jul 2, 88",26,32,33,35,38,44,12
464,"Jun 29, 88",6,10,26,39,41,47,8
465,"Jun 25, 88",8,22,28,31,32,38,39
466,"Jun 22, 88",2,18,24,25,27,30,46
467,"Jun 18, 88",3,5,14,30,35,40,32
468,"Jun 15, 88",5,9,15,21,27,47,4
469,"Jun 11, 88",3,8,16,22,27,44,23
470,"Jun 8, 88",2,6,22,27,34,37,12
471,"Jun 4, 88",15,19,28,32,35,42,45
472,"Jun 1, 88",2,20,24,34,43,49,41
473,"May 28, 88",2,5,28,31,42,45,9
474,"May 25, 88",2,13,28,40,41,43,36
475,"May 21, 88",3,7,15,19,31,34,43
476,"May 18, 88",4,5,6,13,24,31,44
477,"May 14, 88",2,6,20,34,39,44,37
478,"May 11, 88",12,14,17,21,23,29,3
479,"May 7, 88",1,14,27,37,39,42,30
480,"May 4, 88",2,5,9,23,38,43,3
481,"Apr 30, 88",1,12,20,23,31,49,11
482,"Apr 27, 88",17,33,38,39,46,49,1
483,"Apr 23, 88",5,14,18,24,42,49,6
484,"Apr 20, 88",1,2,7,11,34,43,5
485,"Apr 16, 88",18,21,30,39,40,49,15
486,"Apr 13, 88",9,17,19,28,40,46,15
487,"Apr 9, 88",6,12,18,24,32,35,22
488,"Apr 6, 88",10,19,24,31,39,47,32
489,"Apr 2, 88",6,10,21,30,36,49,40
490,"Mar 30, 88",9,12,19,35,36,44,48
491,"Mar 26, 88",27,30,31,33,38,42,28
492,"Mar 23, 88",3,8,29,31,43,48,11
493,"Mar 19, 88",10,28,31,34,39,47,49
494,"Mar 16, 88",1,16,19,35,39,40,11
495,"Mar 12, 88",1,26,36,42,44,46,20
496,"Mar 9, 88",4,10,18,19,37,40,41
497,"Mar 5, 88",11,13,14,24,40,48,45
498,"Mar 2, 88",8,10,26,34,42,44,33
499,"Feb 27, 88",3,4,16,18,25,43,47
500,"Feb 24, 88",7,10,15,20,27,29,30
501,"Feb 20, 88",10,18,27,28,42,48,17
502,"Feb 17, 88",5,14,23,27,36,37,28
503,"Feb 13, 88",10,11,12,24,25,36,9
504,"Feb 10, 88",8,18,33,37,40,42,44
505,"Feb 6, 88",4,7,8,12,42,43,49
506,"Feb 3, 88",5,29,30,33,41,49,1
507,"Jan 30, 88",5,18,21,25,44,47,10
508,"Jan 27, 88",2,4,23,36,44,49,22
509,"Jan 23, 88",3,12,19,35,47,49,22
510,"Jan 20, 88",3,8,12,23,30,43,31
511,"Jan 16, 88",8,27,29,36,37,39,47
512,"Jan 13, 88",7,19,29,38,43,45,37
513,"Jan 9, 88",16,17,23,28,32,45,34
514,"Jan 6, 88",8,13,22,23,26,47,42
515,"Jan 2, 88",17,20,31,38,39,49,34
516,"Dec 30, 89",11,12,26,27,29,34,18
517,"Dec 27, 89",7,26,28,34,38,47,18
518,"Dec 23, 89",3,5,10,36,42,45,28
519,"Dec 20, 89",4,11,17,20,25,49,40
520,"Dec 16, 89",1,7,15,18,27,40,13
521,"Dec 13, 89",2,9,22,25,47,49,38
522,"Dec 9, 89",10,16,31,42,47,49,48
523,"Dec 6, 89",20,24,32,36,41,43,30
524,"Dec 2, 89",5,8,25,42,43,45,26
525,"Nov 29, 89",2,14,37,42,44,48,46
526,"Nov 25, 89",5,7,19,24,37,41,39
527,"Nov 22, 89",6,7,18,21,24,32,31
528,"Nov 18, 89",17,20,34,39,41,49,24
529,"Nov 15, 89",2,20,27,29,41,43,16
530,"Nov 11, 89",9,16,18,25,37,47,35
531,"Nov 8, 89",9,17,28,36,44,46,2
532,"Nov 4, 89",4,17,26,33,43,49,25
533,"Nov 1, 89",14,16,20,22,34,42,39
534,"Oct 28, 89",1,14,28,36,47,49,43
535,"Oct 25, 89",4,21,24,32,34,47,25
536,"Oct 21, 89",20,26,29,33,40,45,38
537,"Oct 18, 89",1,24,28,40,46,49,39
538,"Oct 14, 89",1,17,20,37,42,44,38
539,"Oct 11, 89",1,4,26,27,35,45,29
